Nombre,Deporte,Zona,PrecioPorHora,ImagenUrl,NombrePadre,Ubicacion
Diputación Armilla - Fútbol 7 (Pista A),Fútbol 7,Armilla,35.0,https://images.unsplash.com/photo-1529900748604-07564a03f7a6?q=80&w=1000&auto=format&fit=crop,Diputación Armilla - Fútbol 11,https://maps.app.goo.gl/PachangAppArmilla
Diputación Armilla - Fútbol 7 (Pista B),Fútbol 7,Armilla,35.0,https://images.unsplash.com/photo-1529900748604-07564a03f7a6?q=80&w=1000&auto=format&fit=crop,Diputación Armilla - Fútbol 11,https://maps.app.goo.gl/PachangAppArmilla
Diputación Armilla - Fútbol Sala,Fútbol Sala,Armilla,25.0,https://images.unsplash.com/photo-1544698310-74ea0d0d5b98?q=80&w=1000&auto=format&fit=crop,,https://maps.app.goo.gl/PachangAppArmilla
Machado Villar - Fútbol 11,Fútbol 11,Armilla (Centro),45.0,https://images.unsplash.com/photo-1574629810360-7efbbe195018?q=80&w=1000&auto=format&fit=crop,,https://maps.app.goo.gl/PachangAppArmillaCentro
Machado Villar - Fútbol 7 (Pista A),Fútbol 7,Armilla (Centro),30.0,https://images.unsplash.com/photo-1529900748604-07564a03f7a6?q=80&w=1000&auto=format&fit=crop,Machado Villar - Fútbol 11,https://maps.app.goo.gl/PachangAppArmillaCentro
Machado Villar - Fútbol 7 (Pista B),Fútbol 7,Armilla (Centro),30.0,https://images.unsplash.com/photo-1529900748604-07564a03f7a6?q=80&w=1000&auto=format&fit=crop,Machado Villar - Fútbol 11,https://maps.app.goo.gl/PachangAppArmillaCentro
We Fitness Club - Fútbol 7,Fútbol 7,Hipercor / Chana,40.0,https://images.unsplash.com/photo-1529900748604-07564a03f7a6?q=80&w=1000&auto=format&fit=crop,,https://maps.app.goo.gl/PachangAppHipercor
Jorge Abarca - Fútbol 11,Fútbol 11,Albolote,45.0,https://images.unsplash.com/photo-1574629810360-7efbbe195018?q=80&w=1000&auto=format&fit=crop,,https://maps.app.goo.gl/PachangAppAlbolote
Jorge Abarca - Fútbol 7 (Pista A),Fútbol 7,Albolote,30.0,https://images.unsplash.com/photo-1529900748604-07564a03f7a6?q=80&w=1000&auto=format&fit=crop,Jorge Abarca - Fútbol 11,https://maps.app.goo.gl/PachangAppAlbolote
Jorge Abarca - Fútbol 7 (Pista B),Fútbol 7,Albolote,30.0,https://images.unsplash.com/photo-1529900748604-07564a03f7a6?q=80&w=1000&auto=format&fit=crop,Jorge Abarca - Fútbol 11,https://maps.app.goo.gl/PachangAppAlbolote
Jorge Abarca - Fútbol Sala,Fútbol Sala,Albolote,25.0,https://images.unsplash.com/photo-1544698310-74ea0d0d5b98?q=80&w=1000&auto=format&fit=crop,,https://maps.app.goo.gl/PachangAppAlbolote
